DB,UT,DI,PMID,TI,SO,JI,PY,DT,LA,TC,AU,AF,C1,RP,CR,DE,ID,AB,VL,IS,BP,EP,SR
SCOPUS,105027977183,10.1007/s13278-025-01552-6,,A sophisticated feature vectorization-based stacked machine learning approach for fake news detection in Bangla and English,SOCIAL NETWORK ANALYSIS AND MINING,Social Network Analysis and Mining,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Social Network Analysis and Mining"
SCOPUS,105030904536,10.1007/s10238-025-02001-6,41723787,Screening and validation of potential molecular markers for colorectal cancer: based on bioinformatics analysis and machine learning,CLINICAL AND EXPERIMENTAL MEDICINE,Clinical and Experimental Medicine,2026,Article,English,0,[],[],[],,[],[],[],,26,1,,,"NA, 2026, Clinical and Experimental Medicine"
SCOPUS,105035058111,10.1186/s40537-026-01385-w,,"Knowledge tracing model based on human-machine collaboration: an analysis of the impact of perceptual ambiguity, selective attention, and heuristic judgment on learning performance",JOURNAL OF BIG DATA,Journal of Big Data,2026,Article,English,0,[],[],[],,[],[],[],,13,1,,,"NA, 2026, Journal of Big Data"
SCOPUS,105029717766,10.1038/s41598-026-36402-8,41554918,Quantifying women’s water polo overhead movement volumes using inertial measurement units and machine learning techniques: a cross-sectional study,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e-f-g-h"
SCOPUS,105036633492,10.1186/s13059-026-04006-0,41736096,Reducing demographic bias in biomedical machine learning for cancer detection using cfDNA methylation,GENOME BIOLOGY,Genome Biology,2026,Article,English,0,[],[],[],,[],[],[],,27,1,,,"NA, 2026, Genome Biology"
SCOPUS,105027563163,10.1038/s40494-026-02301-4,,Explainable machine learning-based classification of traditional Korean ceramics using XRF chemical composition data,NPJ HERITAGE SCIENCE,Npj Heritage Science,2026,Article,English,0,[],[],[],,[],[],[],,14,1,,,"NA, 2026, Npj Heritage Science"
SCOPUS,105031688150,10.1038/s41598-025-32041-7,41771965,An integrated physics-guided machine learning approach for predicting asphalt concrete fracture parameters,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e-f-g-h-i"
SCOPUS,105027516551,10.1007/s44163-025-00649-3,,"Enhancing breast cancer detection accuracy through machine learning, deep learning and transfer learning techniques for clinical practice",DISCOVER ARTIFICIAL INTELLIGENCE,Discover Artificial Intelligence,2026,Review,English,1,[],[],[],,[],[],[],,6,1,,,"NA, 2026, Discover Artificial Intelligence-a-b-c"
SCOPUS,105037356621,10.1186/s12917-026-05294-1,41851717,Recognising dog movement with behaviour-specific machine learning models: bout length as a biologically relevant parameter for window size,BMC VETERINARY RESEARCH,BMC Veterinary Research,2026,Article,English,0,[],[],[],,[],[],[],,22,1,,,"NA, 2026, BMC Veterinary Research"
SCOPUS,105029081587,10.1007/s11220-025-00714-2,,Wavelength-Dependent Optical Sensing of Glucose in Aqueous Solution Supported by Machine Learning,SENSING AND IMAGING,Sensing and Imaging,2026,Article,English,0,[],[],[],,[],[],[],,27,1,,,"NA, 2026, Sensing and Imaging"
SCOPUS,105029097266,10.1038/s41467-025-67982-0,41476173,Domain oriented universal machine learning potential enables fast exploration of chemical space of battery electrolytes,NATURE COMMUNICATIONS,Nature Communications,2026,Article,English,5,[],[],[],,[],[],[],,17,1,,,"NA, 2026, Nature Communications"
SCOPUS,105027276972,10.1186/s12911-025-03296-x,41361420,Early diagnosis of Alzheimer’s disease using machine learning and blood biomarkers,BMC MEDICAL INFORMATICS AND DECISION MAKING,BMC Medical Informatics and Decision Making,2026,Article,English,0,[],[],[],,[],[],[],,26,1,,,"NA, 2026, BMC Medical Informatics and Decision Making-a-b-c"
SCOPUS,105029817815,10.1038/s41598-026-36758-x,41565984,A machine learning approach for predicting osmotic coefficients and deriving activity coefficients in alkyl ammonium salts,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e-f-g-h-i-j"
SCOPUS,105033418807,10.1007/s41939-025-01127-0,,Impact of activation energy on hybrid nanofluid flow dynamics at stagnation point in porous media: a machine learning-integrated Darcy-Forchheimer and bio-convective approach,MULTISCALE AND MULTIDISCIPLINARY MODELING EXPERIMENTS AND DESIGN,Multiscale and Multidisciplinary Modeling Experiments and Design,2026,Article,English,0,[],[],[],,[],[],[],,9,1,,,"NA, 2026, Multiscale and Multidisciplinary Modeling Experiments and Design-a"
SCOPUS,105038634821,10.1007/s41060-026-01133-6,,A machine learning analysis to identify biomarkers on Holter data of white matter lesions in Fabry disease patients,INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS,International Journal of Data Science and Analytics,2026,Article,English,0,[],[],[],,[],[],[],,22,1,,,"NA, 2026, International Journal of Data Science and Analytics-a"
SCOPUS,105026785924,10.1007/s13755-025-00419-6,,Determination of cardiopulmonary resuscitation quality based on machine learning algorithms using various biological signals,HEALTH INFORMATION SCIENCE AND SYSTEMS,Health Information Science and Systems,2026,Article,English,0,[],[],[],,[],[],[],,14,1,,,"NA, 2026, Health Information Science and Systems"
SCOPUS,105027584190,10.1186/s43163-026-00998-5,,An interpretable machine learning approach for predicting high-frequency hearing loss risk in occupational workers,EGYPTIAN JOURNAL OF OTOLARYNGOLOGY,Egyptian Journal of Otolaryngology,2026,Article,English,0,[],[],[],,[],[],[],,42,1,,,"NA, 2026, Egyptian Journal of Otolaryngology"
SCOPUS,105036407202,10.1007/s44163-026-01005-9,,Sea animal image classification using machine learning algorithms for accurate and scalable prediction,DISCOVER ARTIFICIAL INTELLIGENCE,Discover Artificial Intelligence,2026,Article,English,0,[],[],[],,[],[],[],,6,1,,,"NA, 2026, Discover Artificial Intelligence-a-b-c-d"
SCOPUS,105029591964,10.1186/s12911-025-03329-5,41526920,Accurate and efficient data-driven psychiatric assessment using machine learning,BMC MEDICAL INFORMATICS AND DECISION MAKING,BMC Medical Informatics and Decision Making,2026,Article,English,0,[],[],[],,[],[],[],,26,1,,,"NA, 2026, BMC Medical Informatics and Decision Making-a-b-c-d"
SCOPUS,105029776038,10.1186/s12951-025-03952-4,41546050,Machine learning for extracellular vesicles enables diagnostic and therapeutic nanobiotechnology,JOURNAL OF NANOBIOTECHNOLOGY,Journal of Nanobiotechnology,2026,Review,English,8,[],[],[],,[],[],[],,24,1,,,"NA, 2026, Journal of Nanobiotechnology"
SCOPUS,105027521131,10.1038/s41598-025-31716-5,41388012,Design a model to predict incomplete immunization among Ethiopian children using ensemble machine learning algorithms,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,1,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e-f-g-h-i-j-k"
SCOPUS,105026960392,10.1038/s41598-025-30905-6,41326723,NERHF: a hybrid machine learning-driven efficient credit risk control framework,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,1,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e-f-g-h-i-j-k-l"
SCOPUS,105030603656,10.1186/s40069-026-00888-3,,Prediction of the Shear Strength of Steel-Fiber-Reinforced Concrete Using a Swarm Intelligence Based Extreme-Learning Machine,INTERNATIONAL JOURNAL OF CONCRETE STRUCTURES AND MATERIALS,International Journal of Concrete Structures and Materials,2026,Article,English,0,[],[],[],,[],[],[],,20,1,,,"NA, 2026, International Journal of Concrete Structures and Materials"
SCOPUS,105030213793,10.1186/s42400-025-00497-9,,A real-time machine-learning model for detecting and mitigating DDoS attacks,CYBERSECURITY,Cybersecurity,2026,Article,English,1,[],[],[],,[],[],[],,9,1,,,"NA, 2026, Cybersecurity"
SCOPUS,105026950164,10.1038/s41598-025-30431-5,41331315,Establishment and validation of a diagnostic model for cholangiocarcinoma based on LightGBM machine-learning algorithm,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e-f-g-h-i-j-k-l-m"
SCOPUS,105029796997,10.1038/s41598-026-37159-w,41571745,Machine learning for predicting functional outcomes in acute ischemic stroke: insights from a nationwide stroke registry,SCIENTIFIC REPORTS,Scientific Reports,2026,Article,English,1,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Scientific Reports-a-b-c-d-e-f-g-h-i-j-k-l-m-n"
SCOPUS,105036203789,10.1007/s44163-026-01001-z,,Applying machine learning to eye-tracking data for autism identification in high-functioning adults,DISCOVER ARTIFICIAL INTELLIGENCE,Discover Artificial Intelligence,2026,Article,English,0,[],[],[],,[],[],[],,6,1,,,"NA, 2026, Discover Artificial Intelligence-a-b-c-d-e"
SCOPUS,105029318346,10.1186/s13005-025-00580-z,41430696,Interpretable machine learning with multimodal hearing data for diagnosing endolymphatic hydrops,HEAD AND FACE MEDICINE,Head and Face Medicine,2026,Article,English,0,[],[],[],,[],[],[],,22,1,,,"NA, 2026, Head and Face Medicine"
SCOPUS,105030443685,10.1007/s13278-025-01568-y,,Media analytics via machine learning: social media engagement prediction for TV channels,SOCIAL NETWORK ANALYSIS AND MINING,Social Network Analysis and Mining,2026,Article,English,0,[],[],[],,[],[],[],,16,1,,,"NA, 2026, Social Network Analysis and Mining-a"
SCOPUS,105035044316,10.1007/s44163-026-00993-y,,"Sexual life after prostatectomy, analysis through machine learning and statistical methods",DISCOVER ARTIFICIAL INTELLIGENCE,Discover Artificial Intelligence,2026,Article,English,0,[],[],[],,[],[],[],,6,1,,,"NA, 2026, Discover Artificial Intelligence-a-b-c-d-e-f"
SCOPUS,105027677146,10.1186/s12903-025-07482-1,41454320,Texture-based image feature analysis for the classification of oral squamous cell carcinoma using machine learning approach,BMC ORAL HEALTH,BMC Oral Health,2026,Article,English,1,[],[],[],,[],[],[],,26,1,,,"NA, 2026, BMC Oral Health"
SCOPUS,105035152495,10.1038/s41746-026-02468-x,,Machine learning–guided Huanglian Jiedu decoction targets STING in periodontitis-induced Alzheimer’s Disease,NPJ DIGITAL MEDICINE,Npj Digital Medicine,2026,Article,English,0,[],[],[],,[],[],[],,9,1,,,"NA, 2026, Npj Digital Medicine"
SCOPUS,105038391191,10.1038/s41597-026-06552-5,41771882,SuryaBench: Benchmark Dataset for Advancing Machine Learning in Heliophysics and Space Weather Prediction,SCIENTIFIC DATA,Scientific Data,2026,Data Paper,English,0,[],[],[],,[],[],[],,13,1,,,"NA, 2026, Scientific Data"
